"source","transfer","upos","xpos"
"eus","hin","81.35%","xpostag: 99.73%"
"eus","fin","80.41%","xpostag: 95.63%"
"eus","nld","80.03%","xpostag: 95.47%"
"eus","cop","81.20%","xpostag: 99.25%"
"eus","est","80.16%","xpostag: 93.64%"
"eus","gaa","76.67%","xpostag: 89.30%"
"eus","glg","76.67%","xpostag: 89.30%"
"eus","bel","80.86%","xpostag: 99.36%"
"eus","ces","79.65%","xpostag: 95.06%"
"eus","hun","79.36%","xpostag: 99.82%"
"eus","huo","79.36%","xpostag: 99.82%"
"eus","hnu","79.36%","xpostag: 99.82%"
"eus","cat","81.35%","xpostag: 99.73%"
"eus","kor","81.35%","xpostag: 99.73%"
"eus","jpn","76.44%","xpostag: 99.68%"
"eus","ind","81.35%","xpostag: 99.73%"
"eus","tur","80.27%","xpostag: 92.94%"
"eus","mar","80.90%","xpostag: 99.75%"
"eus","lit","80.41%","xpostag: 97.58%"
"eus","pol","79.90%","xpostag: 94.99%"
"eus","lat","79.77%","xpostag: 96.13%"
"eus","rus","81.14%","xpostag: 99.74%"
"eus","fra","78.20%","xpostag: 98.27%"
"eus","lav","80.09%","xpostag: 93.38%"
"eus","por","76.56%","xpostag: 97.89%"
"eus","ita","78.60%","xpostag: 93.83%"
"bel","nld","87.55%","xpostag: 56.66%"
"bel","cop","87.75%","xpostag: 63.52%"
"bel","dan","87.32%","xpostag: 47.32%"
"bel","ces","88.76%","xpostag: 56.98%"
"bel","lav","88.50%","xpostag: 55.65%"
"eus","tam","81.35%","xpostag: 99.73%"
"eus","tmy","81.35%","xpostag: 99.73%"
"eus","vie","81.14%","xpostag: 99.76%"
"eus","swe","81.02%","xpostag: 99.05%"
"eus","tel","81.14%","xpostag: 98.69%"
"eus","ukr","80.78%","xpostag: 97.19%"
"eus","eng","79.93%","xpostag: 95.70%"
"bel","ita","86.61%","xpostag: 54.04%"
"bel","mar","86.41%","xpostag: 50.90%"
"bel","lit","87.23%","xpostag: 73.05%"
"bel","hnu","87.21%","xpostag: 47.63%"
"bel","lat","87.27%","xpostag: 59.13%"
"bel","glg","87.11%","xpostag: 57.25%"
"bel","gaa","87.11%","xpostag: 57.25%"
"bel","hun","87.21%","xpostag: 47.63%"
"bel","kor","88.62%","xpostag: 55.62%"
"bel","est","87.27%","xpostag: 51.31%"
"bel","fin","87.80%","xpostag: 56.67%"
"bel","tel","87.01%","xpostag: 59.09%"
"bel","swe","88.79%","xpostag: 76.42%"
"bel","vie","87.69%","xpostag: 55.59%"
"bel","pol","87.96%","xpostag: 59.68%"
"bel","eng","86.88%","xpostag: 54.79%"
"bel","ukr","87.92%","xpostag: 53.68%"
"bel","tam","88.02%","xpostag: 62.25%"
