train/target,hun,tel
glg,0.9070765458048696,0.8685800604229608
tur,0.9053249255561394,0.8746223564954683
dan,0.9118935014888772,0.8806646525679759
ind,0.9022595901208618,0.8761329305135952
ukr,0.8884217901558942,0.8429003021148036
eus,0.905412506568576,0.8731117824773413
por,0.9164477141355754,0.877643504531722
nld,0.8988439306358381,0.8640483383685801
eng,0.9095288141530916,0.8851963746223565
ita,0.9090909090909092,0.8761329305135952
cat,0.9111052723769488,0.8746223564954683
hin,0.9083902609914172,0.8821752265861027
pol,0.8995445787353302,0.8700906344410876
fra,0.905937992643195,0.877643504531722
fin,0.8937642319145209,0.8580060422960725
lat,0.9024347521457348,0.8700906344410876
est,0.9147836748992818,0.8700906344410876
kor,0.902960238220354,0.8700906344410876
rus,0.9100543002277106,0.8746223564954683
ces,0.883692415484323,0.8308157099697885
