train/target,eng,nld,ita,fra,rus,dan,tur,fin,ind,ukr,pol,por,lat,kor,est,lav,glg,cat,ces,eus,hin
eng,85.85,51.04,69.64,67.55,53.42,67.46,44.64,31.83,67.36,47.8,36.36,65.84,57.09,50.27,47.99,33.96,81.4,76.94,44.27,52.78,56.09
nld,61.4,83.37,71.01,67.87,47.33,66.76,42.02,33.26,65.74,46.6,38.86,65.57,59.07,50.08,49.67,38.1,77.1,74.6,47.61,51.71,54.86
ita,58.91,54.91,87.11,70.32,47.21,66.21,42.21,29.72,62.42,46.53,34.53,63.98,55.48,48.98,49.41,33.84,77.58,68.8,42.06,49.23,54.67
fra,58.94,47.81,66.67,92.22,60.26,73.41,38.9,28.18,66.14,43.57,35.13,77.03,52.91,47.82,43.56,31.05,72.47,69.07,41.18,59.29,54.2
rus,65.72,62.32,73.12,81.96,77.27,79.71,45.74,36.75,70.63,31.82,38.18,78.67,61.61,50.54,53.37,36.43,81.57,80.76,48.75,64.21,55.53
dan,57.81,48.15,68.48,77.72,61.8,87.89,38.44,29.23,64.98,44.87,34.57,75.18,58.88,47.74,46.03,35.35,78.86,73.53,44.93,61.13,54.31
tur,62.5,52.48,68.1,68.57,46.02,63.05,77.96,32.75,64.32,46.26,35.13,64.48,70.98,47.55,50.47,35.27,79.11,75.75,45.19,47.2,55.51
fin,63.13,61.87,72.85,74.13,47.29,69.65,44.56,69.29,67.53,45.45,37.35,70.34,61.46,50.88,47.07,35.24,82.29,80.75,47.1,51.16,55.85
ind,59.17,51.93,64.63,68.63,44.86,64.78,37.23,28.9,82.38,43.39,33.09,64.21,59.05,48.8,44.94,30.6,77.84,73.6,42.76,44.85,54.13
ukr,64.43,60.74,72.79,74.97,30.37,70.62,44.65,35.48,66.73,69.47,39.23,69.33,59.88,49.68,53.44,34.92,80.18,79.59,48.94,51.21,55.07
pol,60.96,63.36,71.49,75.73,49.58,68.82,43.62,31.98,65.43,48.98,68.41,68.77,62.98,51.77,53.2,38.56,80.06,79.2,43.32,51.1,56.16
por,57.7,46.85,61.65,79.18,60.31,74.05,37.44,30.93,62.72,42.04,32.86,85.39,56.94,45.86,45.81,31.68,22.61,65.46,36.64,56.27,55.2
lat,60.17,60.44,68.28,70.24,47.89,69.36,58.95,31.42,66.09,46.18,37.46,68.22,81.19,51.69,47.64,35.33,75.95,78.87,47.01,49.81,57.25
kor,62.89,62.6,73.34,76.35,47.61,71.87,44.69,35.0,67.61,47.22,38.34,72.73,62.86,70.4,53.62,39.51,83.14,80.21,50.06,51.04,55.83
est,58.93,53.38,66.78,69.98,46.24,64.41,41.8,25.01,62.96,44.41,36.92,66.52,59.7,47.94,78.17,32.44,81.47,76.6,45.71,48.03,55.86
lav,59.61,62.37,72.2,71.51,46.26,68.68,42.19,30.45,64.14,43.95,35.46,69.01,59.75,51.3,47.36,68.06,78.53,76.02,46.19,49.76,55.96
cat,56.54,42.62,60.12,53.26,43.79,57.94,39.16,25.57,58.96,41.3,35.07,50.22,57.03,46.22,44.46,28.53,63.7,92.29,39.56,44.9,54.42
ces,57.72,55.57,67.08,68.3,44.2,62.78,40.62,31.37,62.08,43.56,29.07,61.89,58.21,48.78,46.74,33.83,72.82,73.59,72.16,47.32,54.95
eus,64.04,58.19,69.32,78.14,61.64,76.35,42.19,33.43,65.14,44.64,35.19,72.84,59.64,49.51,51.04,36.87,77.62,78.05,45.68,74.33,55.18
hin,69.42,61.76,74.88,75.92,48.46,72.67,49.91,37.93,68.89,46.97,48.84,71.98,62.16,51.74,56.58,41.9,82.38,82.52,51.51,53.72,77.46
