train/target,pcm,tha,yor,wbp,tgl,bre,yue,kpv,san,fao,bxr,kmr,hsb,kaz,hye,lit,bel,mar,tam,gle,hun,tel,afr
hye,36.1329894751516,67.46259295762029,15.352172079291435,25.506072874493928,71.7877094972067,65.50087039088464,48.18221008765627,33.01954364064258,23.68783172793395,76.50754443430166,59.46969696969697,77.90619389587073,69.54172876304024,86.25437572928821,97.03136222169022,89.00554342348396,91.9185610791906,83.43558282208589,86.91950464396285,62.42659149635894,85.72932618683001,85.5755894590846,83.92129583623174
lit,41.402383773611206,54.488845085565806,24.588781105018978,44.12955465587044,72.99813780260708,60.31017566070581,39.07889064520764,43.04717077662949,41.03597405150383,77.31300005369704,64.25438596491229,77.05341113105925,75.6613263785395,83.13885647607935,84.05554225520709,96.12800268772048,89.14564076942293,82.82208588957054,79.14086687306502,60.10492522120428,76.885528330781,85.02080443828017,76.40862565835238
bel,13.01317348574615,63.4127766329182,16.209756783354422,20.647773279352226,70.48417132216015,52.22345307801868,51.65253628394885,45.78941983014428,9.09180263416552,72.2278902432476,61.144338118022326,75.03366247755835,66.98025335320418,81.10851808634773,87.35934881493895,89.86225432555014,98.28253809642769,85.2760736196319,85.44891640866872,59.22010805731736,76.20597243491576,83.63384188626907,76.657060518732
mar,37.910364536139966,44.14478989337873,22.817376634331502,42.91497975708502,55.121042830540034,50.78335179617029,52.47880442592327,46.97636345032232,34.1065460978966,58.025022821242544,56.967703349282296,59.97531418312387,54.08904619970194,73.81563593932322,74.4314101029447,75.91970435074752,65.40094928803397,88.95705521472392,73.52941176470588,50.14094432699084,69.4104134762634,81.96948682385575,66.39173208784656
tam,37.527009130828745,56.65262969267987,22.283143539997187,32.388663967611336,65.64245810055866,51.66956796961545,50.31613737605978,35.280875882533515,36.89797523098093,59.915158674757016,58.79186602870813,64.13824057450628,62.34165424739195,77.15285880980164,76.46636341872157,77.76751217873341,76.94229328003998,79.14110429447852,85.64241486068111,58.23741288857568,69.78369065849922,83.21775312066573,66.51098082082878
gle,32.048511884017564,58.65513842845623,33.136510614368056,40.48582995951417,71.13594040968343,61.71862636493116,48.95818364707573,44.91967666018623,35.67918222921171,70.57402137142243,60.30701754385965,74.86535008976661,69.29955290611028,75.55425904317387,71.75005985156811,76.381656307744,79.14064451661254,79.14110429447852,78.09597523219814,86.04651162790698,77.14395099540582,76.8377253814147,72.96034979628342
hun,39.318324388373874,45.215482483648415,27.99100238999016,33.198380566801625,63.87337057728119,59.72463997467954,48.30435407386119,44.080630307991406,40.868881462551606,67.38441711861677,62.16108452950559,69.96184919210053,69.68144560357675,80.91015169194866,85.68350490782859,79.67411389215522,77.3107669248064,87.11656441717791,82.73993808049536,59.830866807611,97.33920367534456,82.10818307905686,73.44728212262744
tel,38.077646894821214,57.32909237523519,33.4739209897371,48.98785425101215,66.10800744878958,54.897926887165696,60.4325334099727,45.15501892970429,46.058580695891486,56.977930516028565,64.0450558213716,67.74012567324955,59.65909090909091,77.3512252042007,72.51615992338999,77.63312615487989,69.95378466150387,79.75460122699386,89.3188854489164,56.044945579829296,74.90428790199081,94.86823855755895,64.2750670774123
afr,39.2555935038684,62.49888002867127,26.402361872627583,39.67611336032389,71.69459962756052,61.97183098591549,52.36384538008334,37.34779494525734,32.43562020837429,76.49680502604306,59.7488038277512,74.71947935368043,74.20827123695976,77.50291715285881,82.73880775676322,82.82378632622208,86.42268298775917,87.11656441717791,80.99845201238391,66.34954193093728,84.8583460949464,82.24687933425797,98.92676140316009
vie,26.34000139401966,50.24191380700655,25.31983691831857,48.98785425101215,63.40782122905028,52.98306694097167,40.738611869521485,46.30103345953136,34.67662669549833,58.44922944745744,55.93102073365232,58.51660682226212,57.95454545454546,70.54842473745624,62.8920277711276,68.19250797917017,66.29402947789158,66.25766871165644,62.848297213622295,48.94291754756871,55.455589586523736,64.63245492371706,53.801053363808
uig,38.976789572732976,56.222560702446025,32.89751159848166,55.465587044534416,61.452513966480446,51.97024845703434,57.4364132777698,48.75677888058938,43.13937487713781,56.41948128658111,61.47328548644339,71.31956912028726,59.77086438152012,82.01866977829638,76.99305721809911,79.10297329077775,71.17786660004997,81.59509202453987,73.87770897832817,51.8322762508809,62.63399693721286,82.80166435506241,61.78078107920103
ell,42.69882205339095,58.62377923125168,28.86264585969352,38.8663967611336,66.66666666666666,63.522709289444535,48.2756143124012,36.47805177529929,40.40691959897779,72.93669118831552,56.00079744816588,74.33797127468583,69.5230998509687,80.47841306884482,84.03160162796264,85.30152864102133,89.05820634524106,85.2760736196319,83.04953560371517,61.25597055829613,80.19716692189893,85.29819694868237,84.9647222498261
sme,19.79507911061546,23.90914792581309,31.04175453395192,43.31983805668016,46.2756052141527,47.016933059028325,36.0037361689898,42.15696306149596,28.4057401218793,52.20963324920797,50.627990430622006,42.50448833034111,51.052533532041735,62.170361726954496,62.9638496528609,63.46379976482446,58.66225331001749,67.48466257668711,60.44891640866873,34.84848484848485,54.737748851454825,58.66851595006934,43.158103945145584
glg,41.08175925280547,49.2518591524057,21.53802896105722,34.41295546558704,71.88081936685289,66.16553252096851,36.99525793935911,36.18131587025479,20.98486337723609,76.83509638618912,58.044258373205736,79.37612208258528,73.24888226527571,81.13185530921821,84.67799856356237,85.3687216529481,87.85910567074694,80.3680981595092,81.57894736842105,69.18017383133662,83.0302450229709,79.6116504854369,83.30517738249031
srp,38.67707534676239,60.46949198100528,21.84732180514551,37.65182186234818,77.46741154562383,58.03133407184681,44.94180198304354,36.09945768955285,32.49459406329861,76.1424045535091,58.59250398724083,75.77423698384202,77.524217585693,79.68494749124854,84.17524539142926,85.34352427347555,90.95678241319013,84.04907975460122,83.86222910216719,67.91559000861326,78.44563552833078,77.80859916782246,79.6283414488721
got,29.20471178643619,34.71463130543858,15.042879235203149,23.481781376518217,41.9925512104283,36.65136888748219,17.136082770513006,21.08871380333572,32.41596225673285,48.89652580142834,37.36044657097289,49.30430879712747,42.67883755588674,46.51108518086348,50.37107972228873,50.47875020997816,52.96027979015739,34.96932515337423,41.09907120743034,37.20147208519302,42.34303215926493,38.83495145631068,45.88095001490609
tur,36.042378197532585,49.00994534539916,31.68845775340925,48.58299595141701,56.23836126629422,55.43598670675741,54.275039517172,47.63122889593779,38.28386082170238,59.51780056918864,62.58971291866029,68.00942549371634,67.11997019374068,81.14352392065344,80.94326071343069,81.16915840752561,76.93604796402698,77.91411042944786,79.4891640866873,60.31634171169055,86.36102603369066,80.72122052704577,71.27099274570207
