Testing Language,1st Best Training Language,2nd Best Training Language,3rd Best Training Language
af,sv,mr,sr
ar,uk,ru,be
be,be,ru,uk
bg,bg,uk,hr
ca,ca,es,he
cs,cs,sr,sk
cu,cu,orv,be
cy,cy,he,ar
da,da,he,sv
de,de,sv,he
el,el,bg,be
en,en,sv,da
es,ca,es,pt
et,et,fi,he
eu,eu,ta,kk
fa,fa,he,mr
fi,fi,et,hy
fo,fo,da,sv
fr,fr,he,es
fro,fro,fr,es
ga,ga,ar,pl
gd,gd,he,ar
gl,gl,pt,he
got,got,af,sr
grc,grc,lt,mr
he,he,bg,ta
hi,hi,ur,ta
hr,hr,sr,sk
hu,hu,et,mr
hy,hy,ru,be
hyw,hyw,hy,be
id,id,he,pt
is,is,sv,da
it,it,es,ca
ja,ja,mr,af
ko,he,ko,mr
la,la,ru,he
lt,lt,be,lv
lv,lv,ru,be
lzh,lzh,af,yue
mr,mr,te,af
mt,mt,af,he
nl,nl,he,sv
no,no,sv,bg
orv,orv,be,ru
pcm,pcm,af,sv
pl,pl,sr,hr
pt,pt,he,es
ro,ro,fr,bg
ru,ru,be,uk
sa,af,sa,te
sk,sk,sr,cs
sl,sl,sk,sr
sme,sme,af,mr
sr,sr,hr,cs
sv,sv,da,bg
ta,af,ta,te
te,te,ta,af
tr,tr,af,hu
ug,ug,af,te
uk,uk,sr,be
ur,ur,hi,af
vi,vi,af,he
wo,af,wo,eu
zh,af,zh,te
