train/target,pcm,amh,tha,yor,wbp,tgl,bre,yue,kpv,san,fao,bxr,kmr,hsb,kaz,hye,swl,lit,bel,mar,cop,tam,gle,hun,tel,afr
bxr,0.2588,0.134,0.0901,0.2225,0.3509,0.226,0.1972,0.2176,0.3002,0.2583,0.274,0.4904,0.58,0.5847,0.5251,0.6763,0.7199,0.7226,0.8524,0.8237,0.9557,0.8108,0.872,0.894,0.8946,0.9466
kmr,0.2825,0.1353,0.1864,0.2846,0.5745,0.4007,0.2754,0.1981,0.3074,0.2569,0.3145,0.4694,0.5465,0.5671,0.5314,0.6555,0.7092,0.7019,0.8705,0.8438,0.9561,0.803,0.8769,0.8951,0.8752,0.9462
hsb,0.2642,0.1657,0.1847,0.2608,0.3602,0.6438,0.2508,0.1941,0.3312,0.2008,0.4055,0.4069,0.5804,0.5796,0.5299,0.6585,0.7376,0.7151,0.8589,0.8482,0.9565,0.7998,0.8743,0.8908,0.8655,0.9493
kk,0.3111,0.1499,0.1753,0.2522,0.472,0.3699,0.2608,0.228,0.3665,0.254,0.3399,0.4679,0.5868,0.6094,0.5166,0.6594,0.727,0.7019,0.8423,0.8638,0.9582,0.8021,0.8776,0.8903,0.8863,0.9457
hy,0.2966,0.2132,0.1136,0.2474,0.3261,0.2705,0.2199,0.2138,0.3492,0.2307,0.3131,0.464,0.6009,0.6052,0.5035,0.665,0.7163,0.7066,0.8524,0.8393,0.9544,0.7989,0.8755,0.8886,0.8738,0.9478
swl,0.1052,0.0691,0.0629,0.0763,0.1522,0.1267,0.1426,0.0728,0.1174,0.1085,0.0361,0.4455,0.5639,0.5855,0.5052,0.6298,0.7234,0.6443,0.8415,0.8304,0.9561,0.8049,0.8773,0.8907,0.8793,0.946
lt,0.2967,0.1301,0.1336,0.2083,0.3665,0.3801,0.2106,0.2168,0.3679,0.2179,0.3775,0.3832,0.5179,0.6071,0.4813,0.6601,0.7376,0.6736,0.8401,0.8259,0.9496,0.7952,0.8734,0.8716,0.8766,0.9436
be,0.0036,0.0857,0.036,0.1585,0.1739,0.1952,0.1341,0.103,0.3665,0.0937,0.1753,0.4197,0.5544,0.6127,0.4862,0.636,0.727,0.6802,0.8582,0.8192,0.9526,0.798,0.8712,0.8835,0.8627,0.9468
mr,0.2302,0.1969,0.1532,0.2619,0.3975,0.2534,0.2336,0.2339,0.3398,0.333,0.25,0.4262,0.56,0.5689,0.5155,0.616,0.734,0.6283,0.843,0.8348,0.9526,0.803,0.8726,0.8926,0.8738,0.9494
cop,0.1381,0.2134,0.1176,0.2243,0.2547,0.3664,0.2248,0.0902,0.2628,0.1832,0.2993,0.3979,0.577,0.5913,0.5008,0.6223,0.7128,0.6472,0.864,0.8214,0.9501,0.7925,0.8697,0.8871,0.8766,0.9449
ta,0.2806,0.2737,0.19,0.2292,0.4037,0.2671,0.2391,0.2312,0.324,0.2445,0.2895,0.4757,0.6049,0.5408,0.5305,0.6546,0.7518,0.6358,0.8285,0.8214,0.9522,0.8081,0.8749,0.894,0.8821,0.9465
