train/target,eng,nld,deu,ita,fra,spa,rus,swe,nor,dan,nds,akk,hye,cym,orv,sqi,slv,gub,kmr,tur,fin,ind,ukr,pol,por,kaz,lat,fro,bxr,urb,kor,est,hrv,got,gsw,aii,sme,pcm,lav,zho,tgl,bam,lit,glg,vie,ell,cat,ces,myv,bho,tha,mar,eus,slk,quc,yor,wbp,tam,mlt,grc,isl,gun,urd,ron,fas,apu,jpn,hun,hin,lzh,koi,fao,san,olo,ara,wol,bul,aqz,mpu,xnr,bre,tel,yue,chu,krl,hsb,ajp,kpv,gle,nyq,myu,glv,sms,afr,otk,tpn,bel,srp,mdf,hyw,gla,kfm,heb,uig,ckt
eng,96.04587470044504,90.3910663841808,88.61395391709789,87.77419203966139,87.44078324034109,90.27924010070954,90.96012351181824,93.9520056672275,89.553713394773,91.56939040207524,57.41573033707865,26.41045349730976,88.48455829542733,70.62480076506216,76.54835464865641,82.32104121475055,78.9556699319276,17.218543046357617,76.89631956912028,79.12044170518747,87.15889500904007,86.9099576982475,87.58051294062537,87.23334048275065,90.02735857382402,82.4737456242707,79.63466898762766,53.42205323193916,58.80183413078149,9.166666666666666,64.0489519133982,88.42993955696716,87.92250618301732,20.5138262404393,47.64542936288089,14.56953642384106,32.02797202797203,47.522130062033874,87.53794322692552,47.48038165864885,73.46368715083798,27.67850683643203,87.30052074584243,87.10013908205842,66.35717273107487,87.55591703944692,89.6836912362159,88.11768164225172,47.579757975797584,50.68267066766692,59.510796523609,82.20858895705521,75.98670714695987,88.52009989527109,25.44597778525749,18.459159285814707,29.1497975708502,83.43653250773994,21.069267587826243,66.82811542613719,84.78303931392884,24.12746585735964,67.04714305011483,85.67559835987413,76.72718484729481,28.594771241830063,34.05604091199659,85.97817764165391,74.14401188005198,29.38801724928893,47.43742550655543,76.9961875100682,25.59465303715353,63.17204301075269,80.73836276083468,26.117952041477643,90.84202493004324,18.25192802056556,5.47945205479452,43.03898170246619,64.06076910903624,84.74341192787794,53.96608708147722,53.72345728242448,69.74789915966386,75.59612518628911,66.28643852978455,39.8649340018418,66.95247044084253,44.87179487179488,12.26215644820296,25.39902845246357,29.87551867219917,89.34711318692239,37.10407239819005,23.093525179856115,89.05196102922808,88.40731984940022,44.05569439485898,80.08303975842979,58.96805896805897,43.24324324324324,90.625,75.83727141976577,32.600212841433134
nld,88.83285492323493,96.97210451977402,88.99520428516196,89.916280810065,88.05558479839983,90.53330281528956,89.16364669935336,90.70751793146196,87.58857037002731,89.02524194352988,58.31460674157304,22.89008455034589,86.6890112520948,70.18648390181703,73.49906595775255,78.85032537960954,76.34484476174663,22.075055187637968,78.32136445242371,78.2652799178223,86.20022705293697,85.37903713153831,85.82386696334466,86.26651927867879,89.9655811490601,83.03383897316219,79.02431500435179,53.05334715981104,58.3732057416268,13.750000000000002,62.16998958094195,87.60026575488973,87.64633140972795,16.464012551480682,48.33795013850416,14.56953642384106,36.51348651348651,36.00752770614066,86.57393508789485,47.91669996324058,73.9292364990689,29.704116327859364,85.67109020661852,87.37830319888734,65.13592639063154,86.33590890605937,89.49023021861095,87.25932095438735,42.98374281872632,48.53713428357089,58.126511961293794,87.73006134969326,78.24320997784524,88.20591315556273,28.172332547963645,19.541684240123715,27.93522267206478,84.3266253869969,19.19985550438002,66.28833192308815,84.26860245624665,25.64491654021244,68.51951911387275,83.78563936302088,78.32220644654562,27.287581699346404,34.08622771503658,87.20329249617151,73.3086957255438,28.32369942196532,45.05363528009535,78.2956559093594,30.253587576174564,63.10483870967742,80.01605136436596,27.65176063944697,89.18214194861358,28.020565552699228,7.534246575342466,44.9085123309467,65.8490267447381,85.71428571428571,50.68975427503952,49.40683879972087,73.49709114414998,70.89232488822653,64.76552598225602,37.12268494832702,68.85913397541304,46.15384615384615,12.26215644820296,35.73907009021513,30.059935454126325,88.44281029514062,37.10407239819005,24.89208633093525,87.16587559330502,89.02022589965853,41.485183862906105,78.96326119778561,59.490171990172,40.54054054054054,94.79166666666666,77.19334292171769,30.507272082298687
deu,86.96178863929634,89.5656779661017,97.160465693868,85.61807212010663,84.76050110537952,88.4161135271229,89.41364185448603,92.34924289382803,87.69354266043008,88.88556320462935,44.26966292134831,21.36817832436587,85.63562365333972,68.99107427478482,67.67064233366862,84.59869848156181,76.51502573468372,18.101545253863137,74.05745062836625,75.5688238315357,83.77412437455325,82.23326394950648,88.95069680290432,86.64103875534144,87.7592445503486,80.59509918319719,75.84254189297872,36.26569881322733,49.780701754385966,11.666666666666666,61.41240044501739,86.55669167571422,88.75103050288541,8.129044910766817,54.43213296398892,17.218543046357617,25.01498501498501,28.249808322297344,83.85202975416125,52.63469130080392,72.06703910614524,17.470881863560734,82.62220729044179,85.15299026425592,60.83647009619406,88.7149247661651,86.76242987038111,87.38180392925383,33.61447255836695,46.54163540885221,62.39584266642774,86.50306748466258,77.2954787888734,87.56948360589705,21.62571524739145,16.589343455644595,21.45748987854251,84.171826625387,15.289442788765465,62.03133662066349,84.14800400829624,20.48558421851289,68.04673780899635,83.52054925145418,76.00821677793553,22.22222222222222,36.24369628524754,86.67687595712098,73.04713208120286,28.5806037251124,34.92252681764005,76.5719808838533,9.445645763711422,50.873655913978496,79.44009064299877,21.06286454957874,91.07733401170186,14.395886889460154,1.36986301369863,40.53301511535402,59.99366988447539,83.21775312066573,48.89351918379077,38.71996809889343,64.41499676793795,65.5085692995529,66.79340937896072,28.415020976158807,66.2986453684128,44.87179487179488,8.0338266384778,20.575988896599583,25.81834946980176,88.93968001589984,31.674208144796378,20.93525179856115,89.45166125405946,89.82575956571227,31.345947875758657,77.5792652239557,56.51105651105651,35.13513513513514,91.66666666666666,71.48140538319294,28.981908478183755
ita,89.09883338161325,89.3847104519774,83.44031729043392,96.3051307235396,92.16549110432678,93.98031586175324,90.53119125598342,91.08828477818118,84.72190061594034,91.57936745485384,48.651685393258425,21.798616448885472,87.55087383289442,66.40898948039529,76.91047564305217,81.23644251626898,79.10094637223975,20.30905077262693,78.24281867145422,76.9542886492039,86.02082720150247,86.40636540656685,88.05480735449116,86.86212073715993,92.8249933809902,82.81213535589265,79.8109445062633,62.6627491646503,55.24322169059012,11.666666666666666,63.5227011849471,87.86764110126234,89.04781533388294,12.041576779760735,40.78947368421053,14.34878587196468,23.696303696303698,36.36997281661672,87.09429934287336,39.89195927695824,72.3463687150838,23.178760037618463,85.75508147152696,89.53407510431154,66.54119615223756,87.18991459943067,93.7028438769588,89.06031061682425,39.4022735606894,48.29707426856714,55.75665262969268,85.2760736196319,77.0985476327234,89.74462257310883,30.730393806799057,18.079572613524533,25.910931174089068,83.6687306501548,20.31969655919805,64.0445831996032,84.04896180466547,23.899848254931715,66.02053221666891,86.36406980070564,78.27991420717156,26.14379084967321,23.856452873073373,86.31316998468607,69.81386793567222,26.67675933571888,39.8092967818832,76.91564194812865,20.06093965008846,57.325268817204304,81.38513832499292,25.405055087491903,90.68939201221065,19.794344473007712,6.164383561643835,45.18695306284805,64.82038297198925,85.15950069348128,50.82626814197442,51.55019439736815,69.90950226244344,73.83569299552906,64.89226869455005,32.77396909853679,65.210241954428,42.30769230769231,9.936575052854122,26.682859125607216,27.61641309359152,86.49508098976449,37.10407239819005,22.30215827338129,89.08943292530603,90.8676998511514,37.37950731881471,79.20231504781077,57.40171990171991,39.18918918918919,92.70833333333334,73.42305321553319,30.897481376374603
fra,87.58591630895637,89.00070621468926,85.51427832557091,91.7122679014078,97.13443520370564,93.41268024719616,91.376136121393,89.6395997520588,84.32053597616512,90.20253417140576,32.359550561797754,24.50422751729439,87.23964567871678,69.23015620019126,71.50165253628394,78.30802603036877,80.57446455254856,20.30905077262693,78.88240574506284,77.88392398561889,86.51978303830468,84.84187202041228,88.85115353085841,88.05332365412218,92.25134586532522,82.94049008168028,79.5531415602587,68.19334024657219,53.62838915470495,15.0,64.26263090045384,87.49007470305132,89.50123660346249,11.5512845656011,39.54293628808864,14.79028697571744,26.95304695304696,36.948490973722734,87.72807632009074,44.09052406143618,72.8119180633147,24.748607393474646,86.92256005375441,91.55076495132128,67.03471350899206,88.04392029280194,92.45985683884696,89.74964479937289,41.24190196797458,48.94223555888972,56.253919899650576,83.43558282208589,75.93747435792237,91.08998630468058,32.480646247054864,19.401096583719948,26.31578947368421,83.51393188854489,17.39366025467353,60.16105972631518,83.17913821630817,26.100151745068285,67.47264622450359,87.0697053494803,78.62429387064617,26.14379084967321,32.28744939271255,86.30359877488515,73.6968224235981,28.4292136893293,35.041716328963055,75.65376147774258,17.928051896992333,53.15860215053764,83.13190444717212,24.58414344350832,90.91198168404986,35.2185089974293,13.013698630136986,42.99920445505171,67.71641082449754,83.63384188626907,51.62379652248886,43.27584488086931,67.25921137685845,65.11736214605067,69.32826362484157,29.489409597871685,69.35243911988098,48.71794871794872,19.873150105708245,27.61970853573907,26.878745965882896,84.88522309450462,38.009049773755656,22.80575539568345,89.52035973020234,90.84143244899748,38.95037486611924,76.83694011071968,60.01228501228502,35.13513513513514,94.79166666666666,75.20032874460654,30.897481376374603
spa,88.2600795301925,88.61228813559322,83.86048643347834,90.67396286422525,90.9653647752395,95.4795147631037,89.91363216475133,89.84857876560702,84.72653174639929,90.79118028534371,43.59550561797752,20.67640276710223,84.72587981805123,66.53649984061205,74.03937347320017,79.28416485900217,79.57828324755106,20.97130242825607,77.58078994614004,77.22008217770929,85.53728853943294,86.29557510239711,87.29359409766951,87.63095807691673,92.90442149854384,80.89848308051342,78.854649817665,59.62668510197028,57.55582137161085,15.0,61.91216204284176,88.33109170164151,88.9406430338005,16.042361247303393,36.911357340720215,15.89403973509934,29.400599400599404,38.21007876211054,85.5565562560459,37.83822659783599,74.39478584729981,25.86269261375968,84.67159415420797,89.67315716272601,65.72145545796738,86.94591297275315,95.65196362932868,89.50075939444417,41.4313653587581,47.456864216054015,52.27130185467252,85.2760736196319,74.8584557315172,90.21187464754694,28.239649949511943,21.62238155489948,26.31578947368421,81.81114551083591,18.648965953219545,60.56370904210311,83.4681084104309,25.64491654021244,65.0141834391463,84.59807380566416,78.21043409962843,25.0,23.79430357269692,86.791730474732,69.02411448050086,29.677034590329388,44.81525625744934,76.07259839982817,24.00235895419697,58.46774193548387,79.35039184213011,25.14581983149709,90.29509030780972,24.164524421593832,8.21917808219178,43.11853619729515,64.07659439784777,84.0499306518724,48.22531972984624,52.77639318113848,68.64899806076276,69.76527570789865,65.90621039290241,33.8074286298987,68.54200923968365,34.61538461538461,11.627906976744184,28.74739764052741,27.662517289073307,86.2963331014608,37.10407239819005,23.453237410071942,87.23457406944792,90.56124682602224,37.48661192431275,77.49119275289381,55.804668304668304,36.48648648648648,92.70833333333334,73.87507704951716,33.16778999645264
rus,86.31791009401417,85.72122175141243,81.42166188290058,83.64435713951639,85.27634487840825,87.76379034103914,97.75068958611914,88.87983706720978,82.91112860649285,87.20941833782301,51.79775280898876,28.485780169100693,88.41273641369403,65.26936563595793,78.63486133065095,76.68112798264643,83.14793292379214,25.607064017660043,78.16427289048474,77.42681047765794,86.2366676477596,84.54643120929296,92.7860405199672,90.56441899985153,87.04439149236607,83.24387397899649,81.2497934271266,57.0687867265814,60.75558213716108,14.166666666666666,63.353170748936016,86.0494887459286,90.98928276999176,17.699548931162973,46.05263157894737,16.114790286975715,38.35164835164836,42.25970586185265,90.49000967343808,33.12183349582061,80.91247672253259,25.9567387687188,90.6013774567445,85.43115438108484,66.18151401087411,79.76819845465637,84.3006384213581,90.15383861643232,49.78608972008312,52.22805701425356,46.39817220679151,84.66257668711657,78.34167555592025,90.72746314347862,30.982834062605185,29.34064389146633,38.46153846153847,83.93962848297214,23.128330172491644,63.58649665917778,82.27785416326816,34.749620637329286,69.53937592867756,83.76084676265853,78.6967948524303,38.72549019607843,19.44030115775268,76.40696784073508,73.99719873774447,20.79548582438756,50.41716328963052,77.80701283359286,35.148417534892864,65.25537634408603,83.92030969691248,30.222510261395552,92.12032561689138,30.334190231362467,15.753424657534246,50.35799522673031,60.76910903623991,83.35644937586684,40.20692628251186,48.74887847672216,70.9114414996768,77.6080476900149,70.08871989860583,45.06292847641461,68.79257693211181,44.87179487179488,20.29598308668076,32.28660652324775,35.085292761641306,77.69054953791115,38.009049773755656,30.50359712230216,93.27379465400948,91.70825672007706,46.590503391645846,79.03875188726724,58.04668304668304,50.0,87.5,76.97760427367989,35.89925505498404
swe,92.27740763173834,89.96733757062147,91.11422916501304,88.00804452551331,88.16296452258132,91.14442664225224,91.37936603295802,97.87301868414062,89.72969635221291,92.90631547440886,57.41573033707865,40.4304381245196,87.52693320565,69.58877908830092,76.22646932030464,80.26030368763557,81.0393491615474,35.099337748344375,77.27782764811491,79.24884437596302,87.04396697921484,84.16370106761566,90.4204239372292,88.94260117800398,90.05383461300856,83.4189031505251,79.09592693379753,62.55905058186427,62.988437001594896,20.833333333333336,64.25909901637029,89.5723614914683,90.7914262159934,26.03451657187684,51.8005540166205,17.218543046357617,45.404595404595405,48.12852861225343,87.08429233796991,48.503252409340085,72.25325884543761,31.83100629385806,86.15823954308752,88.10848400556328,66.34880803011292,88.12525416836112,90.05126716966532,90.11709372397236,50.82508250825083,51.68792198049512,66.36950094077592,86.50306748466258,76.42159678345777,90.46161282526384,42.39313362504208,31.22451848727681,42.51012145748988,85.25541795665634,30.5698546012824,62.9562629475097,85.3201976183263,32.32169954476479,67.55369444819668,85.46200057213693,77.39177718031598,47.38562091503268,35.51211023510192,87.12672281776418,75.05357835940532,30.782640609230207,52.44338498212158,80.33077377436503,40.741104776882246,68.48118279569893,81.97054102539893,37.37308273925254,92.88349020605445,41.13110539845759,22.602739726027394,47.13603818615752,64.29814844120905,84.88210818307905,48.757005316855874,51.10158508623268,74.07886231415644,77.54284649776453,69.58174904942965,44.53085030185204,70.53872053872054,44.87179487179488,24.312896405919663,34.125607217210266,41.95481788842785,92.11964622875882,40.27149321266968,41.43884892086331,89.82638021483888,91.46309429997372,46.69760799714388,80.30951182687468,60.44226044226044,45.94594594594595,87.5,76.8543250462297,35.86378148279532
nor,89.653174624075,89.27436440677965,87.79870799908848,84.96796220943828,83.8761974944731,88.3657587548638,89.39813827897393,92.05348445939964,97.10708717331234,88.95540257407961,56.51685393258427,32.28285933897002,86.16231745271726,67.85145043034747,73.93016237965226,78.95878524945769,78.85605180142787,26.93156732891832,75.07854578096948,77.8145865434001,85.18829976593926,85.92291680655342,87.55123550767068,87.02875715629176,87.97987821021975,82.87047841306885,78.88219286745183,51.1810116372854,61.01475279106858,13.750000000000002,62.80749465802532,87.93732073698368,88.77164056059357,25.75014708766425,44.04432132963989,15.011037527593816,43.01698301698302,41.51390534606538,85.20631108442576,46.55020856973901,73.09124767225326,29.03855892353324,84.08365529984881,84.9095966620306,66.39063153492263,82.96055307035381,88.81795318243374,87.26324040958306,50.2628040581836,52.01800450112528,65.63031986381148,88.95705521472392,74.49331254615575,88.84234270522839,35.3584651632447,28.20188387459581,39.27125506072874,83.51393188854489,30.35311117131762,63.7440550870948,84.3297755820186,32.92867981790592,69.37727948129137,83.76656813197292,78.60314775095912,45.42483660130719,33.21613750976632,84.50421133231241,74.89664017280076,31.34232498394348,50.89392133492253,80.76571980883853,35.63986632592884,67.60752688172043,80.38428854687942,35.51523007128969,90.7084711269397,32.904884318766065,17.80821917808219,48.13046937151949,61.89270454185789,85.29819694868237,50.07903434401495,47.761937992224105,71.8164188752424,78.39977645305514,67.30038022813687,44.37736621303591,69.86923498551405,41.02564102564102,21.56448202959831,34.99306037473976,38.865836791148,86.73357845572892,37.10407239819005,40.431654676258994,88.15888083937047,89.90456177217406,47.37593716529811,78.42224458983392,58.292383292383285,43.24324324324324,89.58333333333334,76.48448736387918,37.850301525363605
dan,89.87438443104311,90.02471751412429,88.83031158063996,89.43922173892709,89.04095167912412,91.5861753261616,90.34321040289916,92.41299920304613,87.3384893252443,98.263992816522,42.24719101123596,23.96617986164489,89.10701460378262,69.23812559770481,71.76031038942376,79.71800433839479,78.86020255686535,19.205298013245034,78.07450628366249,78.94196199280945,88.16942073469846,84.77136909957699,88.57594566108443,86.22692250581578,90.97167063807254,83.85064177362894,79.80543589630592,51.79168106924761,57.81499202551834,12.5,65.66478888162891,88.38294631427136,89.81038746908492,12.659344969601882,44.80609418282548,15.673289183222956,29.89010989010989,38.00794591203736,88.37519597051269,43.15555626588247,73.09124767225326,25.037980177964265,86.36821770535865,88.07371349095968,65.18611459640317,87.0882472549817,89.67885471077578,89.01915633726912,40.82630485270749,49.91747936984246,59.93638562852791,85.88957055214725,77.22162960531715,90.21993071779586,25.967687647256817,18.051455082243777,38.46153846153847,83.97832817337462,17.49300099340739,63.78490356840661,84.99452354874042,23.36874051593324,70.07294340132378,85.36283017068752,77.90532580128689,25.98039215686275,28.645500390652742,85.06891271056661,74.55745118884896,28.19065969354987,38.97497020262217,79.34811791870267,26.75447218399843,62.83602150537635,80.82334057218394,24.2600993735148,90.98829814296616,18.50899742930591,10.273972602739724,44.74940334128878,66.11805665453394,85.43689320388349,44.977726684868514,42.95683381517296,69.13380736910149,71.14381520119225,66.53992395437263,33.16279545687097,69.08621094667606,39.74358974358975,11.627906976744184,23.889659958362248,27.017058552328265,89.95329424624863,38.46153846153847,24.028776978417262,91.01299025730702,90.43866561597058,41.16387004641199,82.02063412179164,60.28869778869779,41.891891891891895,94.79166666666666,76.5255804396959,33.23873714083008
