train/target,fra,eus,ces,dan,nld,est,fin,gaa,glg,hin,ind,ita,kor,lat,lav,tur,pol,por,rus,cat,eng,ukr,hun,hnu,huo,jpn,tel,vie
eng,0.9343721905903506,0.8588503838970741,0.8802139574596318,0.9114401858304296,0.819075195226814,0.8326929793922458,0.6561307555329433,0.9498186215235792,0.9508934569394062,0.8066558764233183,0.8896289248334919,0.8915281718686664,0.8713831744438869,0.8729067854031556,0.7864244086390126,0.8105084407152132,0.7948111407859596,0.9260897613123216,0.863402736165149,0.9484260472362877,0.9471991579932172,0.8657795776684987,0.9095288141530916,0.9117183394640042,0.9095288141530916,0.2628421134576674,0.8851963746223565,0.8243877019280875
ita,0.9385675756667664,0.8467316870720066,0.8864104367042516,0.9112466124661248,0.808897078178468,0.8360246110857358,0.6699313151869754,0.9531774821980384,0.9529423619508264,0.8133287900729761,0.886615921344751,0.9409809485204702,0.8740592072252885,0.8922659955473816,0.8222146040452519,0.814104485066427,0.8012209080503625,0.9366878628697816,0.865757424865175,0.9532771502425552,0.878727634194831,0.8836177803490503,0.9090909090909092,0.9090909090909092,0.9090909090909092,0.2574872941202638,0.8761329305135952,0.825516762202536
ind,0.9315752672060732,0.8516704710520855,0.883422063735215,0.9066008517228028,0.781521453013951,0.8080818936564658,0.6461460188247266,0.9458215773209728,0.9458215773209728,0.8046965953942699,0.9221376466856962,0.8688285366842319,0.8636059541729386,0.8641951408382538,0.8007541995200549,0.7820397562681051,0.7814574589851202,0.9236015113814396,0.8510891490205676,0.9472398286179669,0.8714185475382996,0.8788930672066338,0.9022595901208618,0.9022595901208618,0.9022595901208618,0.2709605311446968,0.8761329305135952,0.802414451971513
dan,0.9387673559085008,0.8549491595766756,0.8872579794580748,0.9573170731707316,0.8191629376151619,0.8395443187619227,0.6640167896209616,0.9508598683326616,0.950658336692194,0.8096657864099724,0.8924040596257532,0.889258208350223,0.8773206221776216,0.8668086342077244,0.8313335618786425,0.8026171211667166,0.7929034719572682,0.9276564371947286,0.8672596993763029,0.9480188378598492,0.8820605777102093,0.8764824992768296,0.9118935014888772,0.9116307584515676,0.9116307584515676,0.2645881293163847,0.8806646525679759,0.8162237276359214
gaa,0.9341724103486164,0.848142768209172,0.8724353984078752,0.9097948122338366,0.78476792138282,0.831403315510895,0.6515517679979649,0.9728268171436248,0.9733306462447938,0.8076213192492262,0.8834443387250238,0.8963113092825293,0.8769861180799465,0.8653566934469074,0.8172780253685293,0.8075117370892019,0.8070202212895842,0.9247995576444568,0.8559420020761771,0.95456959739386,0.8681440767161736,0.8757111175392922,0.9070765458048696,0.9084778420038536,0.9070765458048696,0.2600673939879224,0.8685800604229608,0.8091888136182039
glg,0.9341724103486164,0.848142768209172,0.8723475050852565,0.9062137049941928,0.7871369658682109,0.831403315510895,0.6515517679979649,0.9733306462447938,0.9728268171436248,0.8076213192492262,0.8887567396130669,0.8971220105391163,0.8769861180799465,0.8640015487368116,0.8170037709976002,0.801318549595445,0.8070202212895842,0.9249838724541516,0.8501438976427794,0.9543394355723948,0.8681440767161736,0.8827499758943207,0.9070765458048696,0.9070765458048696,0.9070765458048696,0.2600673939879224,0.8685800604229608,0.8091888136182039
est,0.935470981919888,0.8422494293421872,0.8804399688606515,0.9119241192411924,0.7915240852856015,0.9142642198876918,0.7061180361231238,0.949986564557302,0.949986564557302,0.8048385722804328,0.8845543926419284,0.8802594244021078,0.8658638568322462,0.8626464040267157,0.816935207404868,0.8028169014084507,0.7803128576879054,0.925260344668694,0.8632170617873691,0.9470450763074962,0.8674424043971465,0.868190145598303,0.9147836748992818,0.9147836748992818,0.9147836748992818,0.2597337603843459,0.8700906344410876,0.8116206357477853
hin,0.93067625611827,0.850051877982984,0.8584226915446623,0.9034068912117692,0.7882776169167325,0.8227786883043606,0.6312007122869498,0.9507591025124278,0.9507591025124278,0.9401993355481728,0.8833650491595306,0.8774219700040535,0.8712995484194681,0.8729067854031556,0.7941035310250257,0.8113075616821497,0.7542922548645555,0.9248917150493042,0.8648374927207204,0.9419106972132716,0.8659805870658402,0.8704078680937228,0.9083902609914172,0.9076020318794884,0.9083902609914172,0.2595391407822596,0.8821752265861027,0.8076254993920444
kor,0.92628109080012,0.8398422909317286,0.8354385876798675,0.894502516453736,0.7719575326840397,0.8100432574760204,0.5872551513609768,0.949516324062878,0.9490460835684535,0.8074793423630633,0.8846336822074216,0.8689096068098906,0.9361933433684564,0.8122156616010067,0.7633870414809736,0.7832384377185097,0.7415490270888974,0.9203760022117776,0.8484981474760944,0.9415920116143196,0.8539352122558765,0.8571015331212034,0.902960238220354,0.902960238220354,0.9012086179716238,0.2547125746505188,0.8700906344410876,0.7971165537606392
eus,0.930776146239137,0.9125959742685203,0.8799314432083574,0.9047619047619048,0.7883653593050803,0.8227518203068326,0.6401678962096159,0.9505575708719602,0.9497850329168346,0.8045262231308743,0.8871709483032033,0.8809890555330361,0.8611807994647934,0.8540315555125351,0.8033596160438807,0.794625911497353,0.7811522319725296,0.9230485669523546,0.853241283853925,0.9450975532027904,0.865220442053561,0.8762896538424453,0.905412506568576,0.9016465230338064,0.9016465230338064,0.2582713330886687,0.8731117824773413,0.7966822998089282
