train/target,eng,nld,deu,ita,fra,spa,rus,swe,nor,dan,nds,akk,hye,cym,orv,sqi,slv,gub,kmr,tur,fin,ind,ukr,pol,por,kaz,lat,fro,bxr,urb,kor,est,hrv,got,gsw,aii,sme,pcm,lav,zho,tgl,bam,lit,glg,vie,ell,cat,ces,myv,bho,tha,mar,eus,slk,quc,yor,wbp,tam,mlt,grc,isl,gun,urd,ron,fas,apu,jpn,hun,hin,lzh,koi,fao,san,olo,ara,wol,bul,aqz,mpu,xnr,bre,tel,yue,chu,krl,hsb,ajp,kpv,gle,nyq,myu,glv,sms,afr,otk,tpn,bel,cop,srp,mdf,hyw,gla,kfm,heb,uig,ckt
eng,93.0634924815,87.99435028248588,88.8397852298128,86.8902296431411,87.07442888725129,89.47814145113298,89.13457749526818,94.24776410165587,87.05135923678971,91.34989524094584,59.10112359550562,41.44504227517295,85.06104859947331,69.77207523111252,74.93318005460554,82.86334056399133,78.47418230117881,35.54083885209713,76.6943447037702,78.17154596815614,86.0348428148958,83.0893708453636,87.19405082562362,85.98604213756579,89.13599858794457,82.84714119019837,80.1734110414578,61.153358681875794,64.40390749601276,21.25,63.8705917671782,87.7412454829771,86.90436933223413,28.338889978427144,53.601108033241,15.011037527593816,43.57642357642358,47.56395065170419,86.33376697021248,41.6324377886813,73.3705772811918,30.666280836287346,85.57030068872837,86.05702364394993,65.24466750313677,87.3729158194388,87.84097504352873,86.83112047425408,48.27649431609828,53.41335333833458,54.80243705761133,88.95705521472392,77.91499138426192,86.40940949005075,40.104341972399865,26.936594966961906,38.46153846153847,85.06191950464397,32.168337397272644,66.11034925451523,83.93477196989117,32.92867981790592,63.89301634472511,84.06217221321637,74.1836087363683,46.24183006535948,33.29781944740394,83.84379785604901,69.39199108996101,34.4572896596018,50.05959475566151,76.41088975997422,40.2103400825634,67.00268817204301,78.9066188273062,38.19399438323612,90.66395319257188,40.3598971722365,16.43835616438356,50.39777247414479,65.39009336920398,85.29819694868237,44.81247305647364,52.78636227694148,72.65675500969618,74.06855439642325,68.18757921419518,43.75319758518367,68.26403570589618,53.84615384615385,31.92389006342495,33.10201249132547,42.50806823420931,88.50243466163172,38.009049773755656,46.97841726618705,87.02847864101923,50.0,87.54925137903862,44.73402356301321,78.7871162556618,59.490171990172,45.94594594594595,92.70833333333334,76.10437641257448,36.892515076268175
nld,88.004634872146,93.90889830508476,87.03339077266571,89.42519058977597,86.9291504368881,89.90386816205081,86.79870545144473,88.62835384751617,84.42550826656787,87.83797266287539,61.91011235955056,31.299000768639505,84.24706727316256,66.58431622569334,72.76332806437706,73.7527114967462,74.64303503237589,23.841059602649008,77.68177737881507,75.65998972778634,83.92689456054045,83.59296313704425,83.7627356833353,83.54919074095461,89.25072809107758,78.94982497082847,76.80875207950027,60.16822214540846,61.97169059011164,15.833333333333332,59.897222173168274,85.85017257863265,86.03874690849135,26.6424789174348,49.58448753462604,14.34878587196468,40.95904095904096,41.32571269254897,83.99879915941159,38.74922086017037,70.57728119180634,27.62786659914635,83.82328237863263,86.6481223922114,63.79757423672103,85.62423749491663,89.64983555813504,85.40247905541129,42.329788534409,53.29332333083271,55.389302033867935,81.59509202453987,75.74464593419216,86.94916619672924,33.12016156176372,20.32897511598481,34.0080971659919,80.99845201238391,25.89180890454258,63.29180404399965,83.1505907576146,27.31411229135053,71.9640686208294,80.77619910365213,75.36477056460139,35.78431372549019,26.12401448966546,83.71937212863706,77.0262744899509,24.080190843196625,45.649582836710366,77.30226064543844,32.474936111657165,65.25537634408603,78.00490982910017,32.92287751134154,87.31238870516408,25.44987146529564,10.95890410958904,43.556085918854414,65.18436461465423,82.80166435506241,40.92542031901135,50.36387199680989,72.10730446024563,72.67138599105813,59.31558935361216,40.151437634298574,65.05755226685459,43.58974358974359,23.25581395348837,35.16655100624566,31.71968649147072,87.00188810493889,26.69683257918552,29.496402877697843,84.97376967274543,40.0,88.14464582786096,41.342377722242055,78.0322093608455,56.05036855036855,32.432432432432435,88.54166666666666,71.97452229299363,30.93295494856332
ita,87.85584494245911,88.5549081920904,85.51683877129331,95.5661568682475,91.2243394041478,93.06477454795149,87.54675296990368,89.19153457894271,84.20938884515043,90.35218996308492,46.96629213483146,23.72021521906226,84.7019391908068,64.87886515779408,74.7090099152177,81.23644251626898,77.73949858874315,22.29580573951435,77.25538599640933,76.25192604006163,84.75802043476432,84.30806419123078,84.82257875629465,84.98787348831071,92.35725002206335,80.38506417736289,79.48483479678737,62.30556515727619,55.273125996810215,12.5,61.839758419128685,87.18218794056165,85.919208573784,16.689546969994115,43.35180055401662,14.56953642384106,27.152847152847155,38.85132780372203,85.48317155342072,38.41998433729163,73.27746741154563,22.47703103523114,84.40282210650092,89.56884561891516,64.54203262233375,85.58357055713705,93.16598955310504,85.76453872911665,39.10891089108911,49.40735183795949,57.53516709972225,82.82208588957054,78.58783950110774,86.36107306855716,31.33625042073376,20.42738647546745,25.101214574898783,83.90092879256966,25.982118667027905,60.53453155545181,83.31779730139125,25.417298937784523,65.28434418478996,84.78306474682941,75.55206476754373,25.653594771241828,27.251580367923857,83.80551301684534,69.75649268465548,24.59858702633269,40.047675804529206,75.79874348923374,19.441714173383133,57.392473118279575,79.05769049192712,27.327716569453447,88.37445942508268,20.82262210796916,6.164383561643835,45.10739856801909,65.29514163633486,84.1886269070735,47.87325765196149,50.71279034991526,68.35811247575954,71.0692995529061,66.92015209125475,33.101401821344524,65.2063268342338,43.58974358974359,15.856236786469344,25.780707841776547,28.53849700322729,83.55361224286992,33.93665158371041,24.31654676258993,85.75443417436922,10.0,87.39164696611506,37.308104248482685,79.11424257674888,56.94103194103194,35.13513513513514,93.75,71.3375796178344,31.21674352607308
fra,87.065809917573,88.17090395480226,86.82112982227946,89.2334315513774,95.29003052952942,92.42389562829024,90.10871882327862,89.02683078012929,83.2769879127495,89.52409458246035,58.98876404494382,43.566487317448114,85.68350490782859,68.68823716927001,76.67193562293433,77.87418655097615,78.52814212186618,34.216335540838855,78.89362657091561,77.80688238315358,85.58354006363088,82.11240179950312,88.23047195221922,87.41152596063421,91.00697202365194,82.28704784130689,77.15138761884826,67.11602719207282,61.26395534290271,23.33333333333333,62.62560262772176,85.86799760172417,88.86232481450949,32.967248480094135,51.45429362880887,15.89403973509934,44.16583416583417,43.20763922771312,86.28039627739417,40.71984529079896,72.99813780260708,34.34854951891775,85.72988409205443,89.53407510431154,66.53283145127563,87.43391622610818,90.41884310311472,89.1259614913527,47.977019924214645,55.97899474868717,55.62673595555954,84.04907975460122,75.4410437351276,89.15652944493677,41.24873779872097,31.50569380008435,41.70040485829959,83.28173374613003,36.981847737740445,60.274851924255245,81.66437510195522,32.92867981790592,70.95096582466567,86.26108515304662,77.87511705887684,43.62745098039216,28.87456495489736,85.53790199081163,75.74376887898885,34.03523259014589,50.53635280095352,78.43526821672125,38.63770395124829,64.78494623655914,83.65121329430649,41.26161157917477,90.82930552022384,39.33161953727507,16.43835616438356,48.40891010342085,67.70058553568603,82.80166435506241,49.7197873257652,56.36526767022231,74.240465416936,75.86624441132638,68.8212927756654,45.07316074900236,68.40889515308119,53.84615384615385,34.46088794926004,37.647467036780014,40.710004610419546,85.24296929345125,49.7737556561086,42.73381294964029,88.49612790407194,40.0,90.07967778653358,46.05498036415565,75.8933064921993,57.89312039312039,48.64864864864865,91.66666666666666,74.37846722827204,37.28272437034409
rus,85.68983224922971,82.7242231638418,82.11759103024654,82.86796688648799,85.03000315822719,86.49347676813916,95.64155733416018,88.4530239971664,81.68233532471943,87.15953307392996,60.22471910112359,38.69331283627979,88.22121139573856,66.30538731271915,77.81290415289554,76.78958785249458,83.92827494604018,34.216335540838855,78.41113105924596,76.20698510529019,84.55899872457918,81.15893372725441,92.39372291837452,89.49695599808616,85.02338716794634,83.43057176196032,81.26962442297311,62.91047355686139,62.83891547049441,24.58333333333333,63.09004538471047,83.7759880734391,90.3957131079967,28.878211414002745,56.02493074792244,15.011037527593816,43.62637362637363,42.88004460862898,89.70612762266921,47.194297495564896,78.86405959031657,28.91557549012516,89.90424995800437,84.42280945757997,66.16478460895023,79.97153314355428,82.37570129618882,89.77512125814512,52.49969441388584,56.20405101275318,58.9239315473524,87.11656441717791,78.63707229014524,89.6882300813663,31.386738471894983,27.737944608463376,43.31983805668016,85.02321981424149,33.94743971823354,64.74776062789951,81.64281885763558,35.28072837632777,69.02607051195461,84.14227138361781,79.18315560523216,40.849673202614376,36.1336032388664,73.30589586523737,73.37113349870906,31.75520689971557,51.60905840286056,76.47532620952585,41.36033025358758,68.41397849462365,82.88641299216316,39.31734715921365,90.72755024166878,31.10539845758355,27.3972602739726,54.574383452665074,59.93036872922931,81.2760055478502,45.84710446903291,50.68288306250624,70.39431157078216,75.36326378539493,71.73637515842839,47.15031208431392,64.56424712238665,51.28205128205128,25.58139534883721,36.86675919500347,40.84831719686491,78.1079201033489,37.10407239819005,37.48201438848921,91.68748438670995,50.0,90.92023465545924,49.268118529096746,78.64871665827881,58.72235872235873,47.2972972972973,86.45833333333334,76.8543250462297,37.53103937566513
swe,91.96271034682538,88.04731638418079,89.98097588828263,88.01739862494739,87.23234024634172,90.1556420233463,89.5163530422537,96.08784202603384,88.26625912718627,92.27776114935648,58.98876404494382,38.84704073789393,85.92291118027292,70.56901498246732,74.11409685299613,79.60954446854663,79.04698655155238,33.99558498896248,77.93985637342908,78.02645095017976,86.61088452536126,83.68696703149129,87.83815435062654,87.0799029879065,90.08913599858796,83.10385064177362,79.18406469311535,60.51964512040557,64.18460925039872,17.083333333333332,64.41450191604712,88.26951434914359,87.89365210222589,28.495783486958224,55.19390581717452,14.56953642384106,45.22477522477523,47.44545898097164,86.40715167283766,46.77875625309658,73.9292364990689,28.87216957245171,85.50310767680162,86.92628650904032,65.44542032622334,86.41724278161854,88.52292513058619,87.42883739160257,50.88008800880088,56.15903975993999,61.79105814891139,82.82208588957054,76.23287109214736,87.96423104809475,39.29653315382026,26.5148319977506,39.27125506072874,85.13931888544892,32.059965682290255,65.27003763895777,83.96972804176085,33.4597875569044,69.02607051195461,84.69342996090397,75.00226565568076,46.40522875816993,34.47510476596349,84.86791730474732,75.70326870180057,27.984218735663823,50.53635280095352,79.6004940127799,39.98427363868685,68.81720430107528,81.8005854027004,37.58911211924822,91.33808191299924,29.82005141388175,19.17808219178082,49.602227525855206,65.12106345940813,84.46601941747572,45.73933036355798,49.70591167381119,75.82417582417582,76.35059612518629,70.21546261089988,45.87127801084621,71.86594628455094,44.87179487179488,29.175475687103592,36.22484385843164,38.81973259566621,91.0563450263341,37.10407239819005,43.02158273381295,88.51486385211092,50.0,88.30225024078452,48.91110317743663,79.34071464519376,62.561425061425055,41.891891891891895,89.58333333333334,75.6009862338196,37.92124866974104
dan,90.24701761778104,89.69367937853107,89.63121900260397,89.16327580562181,88.89356774397305,91.65484092469671,89.4704882980304,92.79022403258656,88.02389663316815,97.21640227476804,55.61797752808989,32.836279784780935,87.59875508738328,69.94740197641059,75.36427647650524,79.60954446854663,78.47003154574132,24.282560706401764,77.44614003590664,78.27812018489985,87.50508065985508,84.7377962801316,87.60979037358004,85.79300786985861,90.945194598888,82.96382730455076,80.01366135269427,61.56815301301993,61.57296650717703,13.750000000000002,65.20564395076553,88.6568034872227,88.73866446826051,24.749950970778585,51.73130193905817,14.56953642384106,41.22877122877123,45.605353035477805,87.71473364688616,46.07553261199636,73.3705772811918,30.702452434348547,85.65429195363681,88.3866481223922,65.19447929736512,87.75925172834485,89.99806538982395,87.95796384302582,49.14435888033248,50.87771942985746,64.12955828330796,82.20858895705521,77.36112250759005,89.77684685410456,32.53113429821609,22.14255588359342,39.67611336032389,83.20433436532507,25.160299828411453,62.185977299915386,84.39386171377969,28.98330804248862,69.87032284209104,84.75827214646705,77.0685436365284,37.908496732026144,32.924923645145256,85.60490045941806,73.1281324355794,27.31443251674466,48.62932061978546,79.4125543682543,39.60094358167879,66.66666666666666,80.68171088660183,30.848995463383023,90.00890358687357,27.249357326478147,21.91780821917808,49.52267303102625,67.41573033707866,84.60471567267683,43.64132777697945,52.25800019938192,71.00840336134453,76.12704918032787,68.56780735107732,42.126266243732736,69.36418448046355,47.43589743589743,19.02748414376321,35.53088133240805,34.20931304748732,89.19805227069463,37.10407239819005,32.15827338129497,90.24481638770922,50.0,88.86262148673497,47.01892181363799,80.81278309008556,62.74570024570024,44.5945945945946,93.75,75.78590507499486,33.62894643490599
tur,66.5775682721934,69.0280720338983,70.38665290853831,67.78448154903887,64.91841246446994,66.93293659876402,73.47596622804467,70.58177632161517,65.8469565754334,70.1785892447371,41.79775280898876,35.91083781706379,74.69475700263347,61.6114121772394,59.86779709728409,69.63123644251627,62.67640710609332,34.65783664459161,65.45107719928187,81.87724704673857,77.34796563371596,64.49002887262473,73.50977866260686,72.65017901041065,70.66454858353191,76.2777129521587,63.85250145978164,45.92695010945961,58.15390749601276,21.666666666666668,58.98423013756688,79.38130965306023,70.72547403132728,21.89645028436949,43.00554016620499,18.76379690949227,40.63936063936064,33.351920262075694,76.0032022415691,44.422957055410826,54.93482309124767,28.257252405411272,74.88661179237359,68.08066759388038,53.032204098703474,75.31516876779179,65.9218417488876,74.05614619567879,49.52939738418286,47.29182295573893,40.59224083863453,74.84662576687117,63.14105194059243,73.43108031902038,41.34971390104342,30.858990580627022,44.534412955465584,78.52167182662538,31.915470062313737,50.64336358066116,64.79515741884366,30.576631259484067,55.214102390922605,64.38447601792696,67.04226203063166,45.588235294117645,38.99424675047944,84.75306278713629,57.07824971734251,29.94311404716029,49.22526817640048,58.298877731836974,37.841556909770006,64.98655913978494,62.41620243603059,33.830200907323395,69.55609259730349,41.13110539845759,24.65753424657534,42.87987271280828,50.2611172653901,76.8377253814147,43.77065670354936,36.20775595653474,66.3219133807369,64.61438152011922,58.808618504436,45.71779392203008,56.24461670973299,44.87179487179488,35.30655391120507,38.65371269951422,43.84508990318119,66.1234224386366,42.081447963800905,49.64028776978417,73.85710716962278,60.0,71.77129848524648,47.76865405212424,66.11726220432813,55.651105651105645,47.2972972972973,73.95833333333334,67.00226011916992,36.9279886484569
fin,78.35830721828668,77.59975282485875,76.8256618112081,76.10963004536738,73.09190441099062,72.44220645456626,82.56622933664076,82.37315150978482,77.39390851973633,81.31298014566497,55.61797752808989,36.049192928516526,84.60617668182906,60.83041122091169,69.95545336973703,71.69197396963123,75.15772870662461,28.918322295805737,69.92818671454219,76.59347714432461,88.19885352282442,77.76136439938226,82.01780067923644,79.48887165695996,77.56596946430147,80.43173862310385,72.95823371930327,54.71828551676461,64.78269537480064,23.33333333333333,61.98986349268017,86.16778208099042,81.3149216817807,25.5540302020004,45.70637119113574,17.218543046357617,44.675324675324674,41.81361957203597,87.47122986090264,58.4922245840592,63.40782122905028,29.16154235694133,86.91416092726357,74.68706536856745,60.63571727310748,77.87718584790565,73.64577287676534,80.2116505805693,50.29336266960029,53.29332333083271,61.696980557297735,86.50306748466258,75.45745466480676,81.84967372915492,33.456748569505216,28.07535498383242,38.46153846153847,85.41021671826626,30.31698726632349,59.037726490240125,75.09787700123512,34.977238239757206,66.46629744698095,72.72241823209689,66.90632268978642,45.751633986928105,45.203849705234745,79.65160796324655,71.93506471590814,43.664556381319386,56.37663885578069,71.61574397250712,38.68684883035188,71.37096774193549,70.16806722689076,34.49989198531,80.05596540320529,29.048843187660665,20.54794520547945,54.77326968973747,62.28833676214591,85.71428571428571,55.64017818652105,46.08712989731831,77.02003878474467,72.37332339791355,65.14575411913816,47.27309935536682,60.71959909169211,43.58974358974359,30.23255813953488,33.657182512144345,40.4794836330106,76.17012819238795,37.10407239819005,41.15107913669065,82.35073694728953,50.0,81.6916206987129,49.55373081042485,82.67488676396579,54.20761670761672,41.891891891891895,81.25,74.51201972467639,39.411138701667255
ind,81.26036920970164,82.06656073446328,74.86128785298945,80.72587811608437,79.83577218654595,84.41977569237812,83.76711045651571,82.50066412822102,78.49148643850631,80.3751371844757,52.02247191011236,32.00614911606456,75.43691644721092,64.12974179152056,69.15648800114958,72.45119305856834,69.32591731695169,26.93156732891832,76.33527827648115,73.6748844375963,77.23443916523006,89.53870946082051,80.7647265487762,82.24909669861906,85.9941752713794,77.47957992998833,75.16388114623156,54.9948150708607,59.81858054226476,15.416666666666668,60.66540696134353,79.00698416813859,78.19455894476505,20.494214551872915,40.443213296398895,15.45253863134658,37.1028971028971,41.109639645919,80.17278761799926,31.637072671770365,73.27746741154563,30.058597988859148,80.18646060809675,84.56189151599443,66.82559598494355,75.19316795445303,82.56432578835364,78.79525745921316,44.98838772766165,53.57839459864966,50.29119254547083,74.23312883435584,72.93837695905474,79.92427293966003,33.877482329182094,26.95065373260228,30.364372469635622,78.98606811145511,24.01336584484783,57.76267032357833,75.85001514763114,30.349013657056144,62.028907199783866,77.10308000381426,74.82705494970244,35.947712418300654,17.561616592087507,75.2009954058193,73.0825697362426,21.396458390678045,44.93444576877235,69.80078397680288,28.651464517397287,60.61827956989247,79.3267868945331,37.11384748325772,81.14983464767235,27.506426735218508,16.43835616438356,41.56722354813047,61.68697578730812,78.77947295423023,39.63931599367726,46.08712989731831,64.02714932126696,67.3714605067064,65.27249683143219,38.93379719635731,68.25620546550779,34.61538461538461,20.29598308668076,39.34767522553782,32.87229137851544,76.03100467057537,37.10407239819005,31.43884892086331,80.38970771921059,50.0,78.53953244024166,40.37843627275973,72.08102667337695,58.56879606879607,41.891891891891895,86.45833333333334,72.24162728580235,31.997162114224903
