lang_train,af,aii,ajp,akk,apu,aqz,ar,be,bg,bho,bm,br,bxr,ca,ckt,cs,cu,cy,da,de,el,en,es,et,eu,fa,fi,fo,fr,fro,ga,gd,gl,got,grc,gsw,gub,gun,gv,he,hi,hr,hsb,hu,hy,hyw,id,is,it,ja,kfm,kk,kmr,ko,koi,kpv,krl,la,lt,lv,lzh,mdf,mpu,mr,mt,myu,myv,nds,nl,no,nyq,olo,orv,otk,pcm,pl,pt,quc,ro,ru,sa,sk,sl,sme,sms,sq,sr,sv,ta,te,th,tl,tpn,tr,ug,uk,ur,urb,vi,wbp,wo,xnr,yo,yue,zh
af,31.77978734,17.21854305,69.32826362,28.60876249,32.18954248,24.42159383,79.69030309,86.42268299,86.96896464,50.05251313,29.92838024,61.97183099,59.74880383,86.13368156,33.34515786,85.10998971,50.95204865,70.31399426,86.84026739,83.57013189,83.28588857,85.78068628,86.71091783,86.68956912,76.19184377,75.38893756,83.90867426,76.49680503,83.14769976,58.4341514,66.34954193,59.42874693,83.62308762,20.69033144,59.34700785,55.5401662,23.17880795,31.25948407,39.55586398,84.375,70.23743229,86.3561418,74.20827124,84.85834609,82.73880776,79.99496729,79.46014906,82.55983314,84.44413264,35.90453867,37.83783784,77.50291715,74.71947935,59.40982217,46.00715137,37.34779495,73.14156432,76.2237377,82.82378633,83.02144835,30.53032388,42.91324527,15.06849315,87.11656442,24.21204732,19.02748414,43.63158538,62.47191011,83.72616525,81.27633955,47.43589744,66.53225806,72.48742635,37.1040724,39.2555935,85.63462078,85.47347983,34.06260518,81.35215028,86.39819642,32.43562021,84.77402723,76.6395484,38.8011988,33.01060396,79.39262473,86.98888013,87.65607013,80.99845201,82.24687933,62.49888003,71.69459963,25.89928058,72.78505393,73.26895418,83.96182223,63.19059841,23.75,60.32622334,39.67611336,31.75631886,49.56245028,26.40236187,52.36384538,49.78503732
ar,34.48275862,14.56953642,58.8086185,3.935434281,22.38562092,10.53984576,75.93239543,77.16087934,75.33070466,40.88522131,15.7491138,39.10428865,33.57256778,60.50493326,27.52749202,75.42256626,27.71408633,58.77430666,66.09797466,63.82730306,64.66043107,62.81700155,64.91187915,66.46140883,59.38294904,76.08071776,66.8867118,54.40584224,58.53037162,25.55017859,51.41335839,40.44840295,67.45479833,7.246518925,41.11399644,30.40166205,15.01103753,20.25796662,18.25121443,77.08333333,64.14384313,73.3223413,54.58271237,61.12174579,69.40387838,58.53044791,66.32310481,61.63862413,60.16089051,17.85460615,29.72972973,68.05134189,59.13375224,51.97344023,30.87008343,28.7424537,44.1822883,60.94726057,73.04720309,69.91560759,5.638131939,26.20492681,2.054794521,68.71165644,15.11785424,6.976744186,27.28272827,27.97752809,63.49752825,64.55641489,26.92307692,40.25537634,55.59706854,37.1040724,26.60486513,76.97777631,66.45485835,19.00033659,68.37989892,77.23945918,4.904658935,74.67977121,64.66461896,19.24075924,25.91055786,68.11279826,73.74135365,68.50084123,63.04179567,63.24549237,53.68246573,55.12104283,18.34532374,62.42167437,56.19478118,77.74915095,57.36188032,2.5,60.70263488,18.62348178,14.56038021,29.1964996,14.90229158,30.14082483,30.29135834
be,43.15810395,14.56953642,67.42712294,8.178324366,22.7124183,11.05398458,82.80143518,98.2825381,91.61790893,51.58289572,15.85039427,52.22345308,61.14433812,80.49912943,39.4111387,88.31757386,51.69973083,64.19349697,84.28614187,79.37740202,79.09719398,77.52877044,83.58434424,83.00465071,74.87896939,75.24091472,83.57650423,72.22789024,81.18328245,27.04804701,59.22010806,48.58722359,84.0403338,1.706216905,66.8864704,31.44044321,14.34878587,22.83763278,16.88063845,89.58333333,73.10281982,90.41220115,66.98025335,76.20597243,87.35934881,78.39708103,75.24004566,81.38006572,80.11786165,38.74209816,44.59459459,81.10851809,75.03366248,61.79737581,48.98688915,45.78941983,67.09760827,75.63872332,89.86225433,89.49931619,28.01633177,50.12495537,1.369863014,85.27607362,12.11957013,7.610993658,52.74416331,25.50561798,80.71592514,79.97036077,43.58974359,53.96505376,79.23552235,37.1040724,13.01317349,88.85680817,83.01120819,20.68327163,81.66301135,95.30823046,9.091802634,88.57649239,80.13033372,19.41058941,25.63393269,76.2472885,90.95525786,85.88683255,85.44891641,83.63384189,63.41277663,70.48417132,18.27338129,73.03800719,75.83727142,94.37287739,67.18222342,2.916666667,63.90631535,20.64777328,13.588248,51.43198091,16.20975678,51.65253628,52.73697838
bg,45.7318891,16.11479029,69.70849176,40.50730208,48.20261438,39.58868895,84.41129261,92.33075194,99.30679216,56.54913728,29.98625479,60.83241019,61.89194577,83.31882376,39.4111387,92.31443829,47.94138172,66.68791839,88.44657288,82.58128775,79.8698658,85.01303558,85.50469215,86.75438739,75.79387872,77.66063499,84.4945269,78.83262632,83.12875039,60.88259016,65.59392373,58.2002457,84.07510431,28.71151206,61.92629767,49.16897507,36.20309051,34.37025797,40.07633588,88.54166667,74.96245296,92.81121187,79.05178838,76.93338438,86.61718937,83.22848515,83.09608541,82.76083056,82.49380291,27.80737268,47.2972973,80.85180863,78.46723519,61.03272291,52.20500596,45.69732938,74.01422107,79.60051561,85.68788846,88.59868575,31.23222314,49.16101392,28.08219178,85.88957055,33.95647069,28.54122622,53.45923481,56.51685393,81.55455508,84.49960635,44.87179487,67.54032258,76.73228912,37.1040724,43.08914756,91.76717098,85.76471627,42.54459778,83.98016592,92.69329406,39.8761549,91.3075002,84.01544081,46.16383616,41.26325496,78.4164859,92.06724455,89.47666696,83.32043344,82.6629681,57.40525043,81.56424581,44.60431655,77.59501798,75.76535854,93.40086661,72.47737404,24.58333333,65.94730238,40.08097166,39.7926118,50.47732697,31.40728244,42.11812042,37.9373172
ca,45.88095001,17.21854305,64.00506971,40.98385857,37.25490196,43.44473008,79.18043622,86.04796403,89.91986772,49.72243061,29.79816248,63.506884,62.82894737,98.71832076,34.90599503,89.27980011,57.77091018,65.97067262,89.29462237,79.21481371,85.92923953,86.25865747,94.81345846,87.20163342,74.89538032,76.67582999,84.71877672,76.35719272,90.72744499,66.48231363,67.17171717,54.82186732,88.8038943,29.10374583,61.99340589,42.10526316,32.89183223,32.62518968,35.28799445,91.66666667,68.80473852,88.78812861,75.82898659,87.2032925,84.70193919,78.69904378,84.4927147,83.20826828,90.18287264,19.88955181,47.2972973,80.57176196,78.17549372,61.62078161,52.56257449,44.19318531,73.30316742,79.31296617,84.09205443,85.02284933,19.1760712,47.73295252,23.28767123,82.20858896,36.20518378,28.75264271,50.94731695,53.25842697,87.23075565,84.68022044,50,63.97849462,77.39042966,45.70135747,40.27322785,87.43957367,91.36881123,39.19555705,84.83264995,89.06481141,38.41163751,89.59961331,79.13415242,40.999001,41.30935915,79.17570499,90.35986341,89.46249889,82.23684211,85.02080444,43.36080996,72.53258845,36.61870504,76.20313303,75.39552085,87.53366905,65.19654194,27.5,65.2279381,36.43724696,38.19399438,44.86873508,28.83452833,40.50869378,32.30034042
cs,48.97147968,15.01103753,68.69455006,40.32282859,48.36601307,38.04627249,80.37956756,90.06370222,91.87229713,48.67216804,27.80149027,58.20541225,60.28708134,84.55697427,35.40262504,98.41996962,48.42986741,66.3611731,85.36366357,83.16302102,84.1805612,83.4421826,85.850309,85.7448429,74.01739559,80.086397,83.25134199,76.12092574,83.45720602,59.36743865,67.82554224,57.95454545,85.11821975,27.22102373,59.46080005,48.7534626,37.30684327,34.06676783,37.64746704,87.5,65.79928787,94.91755977,80.98919523,79.07733538,84.24706727,74.87418218,83.00208151,79.084617,81.51629952,19.39413311,39.18918919,80.16336056,79.27513465,58.86591202,49.22526818,44.4182953,69.52165482,79.69195853,86.4606081,85.85009507,15.6895128,48.48268476,21.23287671,87.73006135,33.08949697,28.11839323,51.14900379,55.39325843,83.86740819,79.62920082,47.43589744,65.86021505,76.62307803,37.1040724,41.57663623,92.0674465,86.32071309,36.839448,83.83903881,91.15198026,35.77747199,95.76250705,87.39830649,43.44655345,40.20285846,76.78958785,95.98984327,88.29894625,84.32662539,82.10818308,52.36537945,71.97392924,43.45323741,77.51155624,72.05670844,92.76847406,61.94110496,22.5,67.35257215,43.31983806,38.21559732,48.4089101,28.2721777,37.24673085,31.93274625
cu,49.8260956,15.01103753,51.45754119,30.39200615,14.05228758,16.19537275,65.42347276,66.31276543,65.42864411,36.66916729,13.41966288,43.48789365,36.13437002,57.04681757,12.45122384,63.93072363,94.87588476,50.75709276,59.90222488,59.92800027,56.9947133,60.12166539,58.39322499,62.00191214,55.12021006,60.79207323,61.16133373,56.85442732,59.45046847,55.88777509,41.57466134,41.33906634,59.70097357,32.35928613,59.1340122,41.3434903,20.52980132,13.12594841,19.79528105,58.33333333,51.46222515,64.36521022,51.80700447,52.98621746,57.289921,58.54302969,55.96589002,62.50786512,55.82058837,34.08267633,35.13513514,55.0991832,57.10278276,46.0116199,25.74493445,21.75381152,49.09502262,63.90758756,62.74147489,61.86997565,40.39361409,23.348804,6.849315068,46.01226994,21.66531202,11.83932347,20.3520352,38.31460674,58.68644068,57.99873416,39.74358974,41.46505376,72.46156057,4.524886878,37.99400572,63.21459801,57.78836819,14.99495119,63.35844379,63.2177671,37.63514842,64.20687988,60.37688859,22.61738262,20.74688797,62.47288503,65.44085457,64.52138493,60.25541796,52.14979196,58.95081086,57.07635009,18.20143885,53.29224448,52.78405589,62.15013468,48.95312711,26.25,49.96235885,25.91093117,22.14301145,33.85043755,11.14860115,37.93648513,42.75120267
cy,53.80105336,14.56953642,70.0887199,42.39815527,48.36601307,35.98971722,85.93617222,84.48663502,82.75248028,54.98874719,33.15488678,61.82940339,60.22727273,78.10988586,36.78609436,80.68443486,50.26418104,94.93146318,78.74887758,78.27359387,79.52419683,78.92054881,81.00709545,79.38293011,69.50028719,78.7028366,77.10829864,73.11389142,77.10916939,54.0384837,69.50121369,67.38329238,78.99860918,29.2508335,55.43722464,48.33795014,33.11258278,33.38391502,47.39764053,86.45833333,70.91243524,79.58779885,74.0685544,79.87174579,73.71319129,68.68394565,75.04532331,73.84878003,74.90295122,28.57802401,50,75.46091015,77.12073609,56.79622795,53.03933254,44.68433439,70.55591467,73.6787599,77.71711742,78.41489042,20.53399394,47.69725098,24.65753425,78.52760736,36.39483428,28.11839323,48.25204743,52.69662921,81.27648305,76.42754596,53.84615385,65.32258065,71.6022417,38.00904977,35.67296299,82.6896108,80.09884388,41.1814204,76.46228664,82.02037428,38.03813643,82.55860791,67.5950523,45.35464535,42.00092208,76.78958785,80.81604063,80.56672275,75.46439628,74.6185853,53.20759789,71.88081937,37.41007194,71.96070878,68.90281488,80.94624663,64.64271241,21.25,55.24884985,36.84210526,43.35709657,47.21559268,33.85350766,40.74579681,39.92232575
da,57.25926662,15.67328918,66.53992395,23.96617986,25.98039216,18.50899743,80.82334057,91.01299026,90.98829814,49.91747937,25.03798018,66.11805665,57.81499203,89.67885471,33.23873714,89.01915634,42.95683382,69.2381256,98.26399282,88.83031158,87.08824725,89.87438443,91.58617533,88.38294631,77.22162961,77.9053258,88.16942073,79.34811792,89.04095168,51.79168107,69.08621095,60.28869779,88.07371349,12.65934497,63.78490357,44.80609418,19.20529801,23.36874052,23.88965996,94.79166667,74.55745119,89.81038747,71.1438152,85.06891271,89.1070146,82.02063412,84.7713691,84.99452355,89.43922174,28.64550039,41.89189189,83.85064177,78.07450628,65.66478888,38.9749702,33.16279546,69.13380737,79.8054359,86.36821771,88.37519597,28.19065969,41.16387005,10.2739726,85.88957055,17.49300099,11.62790698,40.82630485,42.24719101,90.02471751,87.33848933,39.74358974,62.83602151,71.76031039,38.46153846,38.00794591,86.22692251,90.97167064,25.96768765,85.36283017,90.3432104,26.75447218,90.21993072,78.86020256,29.89010989,27.01705855,79.71800434,90.43866562,92.4129992,83.97832817,85.4368932,59.93638563,73.09124767,24.02877698,78.94196199,76.52558044,88.57594566,70.0729434,12.5,65.1861146,38.46153846,24.26009937,44.74940334,18.05145508,44.97772668,43.15555627
de,58.37225479,17.21854305,66.79340938,21.36817832,22.22222222,14.39588689,79.44009064,89.45166125,91.07733401,46.54163541,17.47088186,59.99366988,49.78070175,86.76242987,28.98190848,87.38180393,38.7199681,68.99107427,88.8855632,97.16046569,88.71492477,86.96178864,88.41611353,86.55669168,77.29547879,76.00821678,83.77412437,76.57198088,84.76050111,36.26569881,66.29864537,56.51105651,85.15299026,8.129044911,62.03133662,54.43213296,18.10154525,20.48558422,20.5759889,91.66666667,73.04713208,88.7510305,65.5085693,86.67687596,85.63562365,77.57926522,82.23326395,84.14800401,85.61807212,36.24369629,35.13513514,80.59509918,74.05745063,61.41240045,34.92252682,28.41502098,64.41499677,75.84254189,82.62220729,83.85202975,28.58060373,31.34594788,1.369863014,86.50306748,15.28944279,8.033826638,33.61447256,44.26966292,89.56567797,87.69354266,44.87179487,50.87365591,67.67064233,31.67420814,28.24980832,86.64103876,87.75924455,21.62571525,83.52054925,89.41364185,9.445645764,87.56948361,76.51502573,25.01498501,25.81834947,84.59869848,89.82575957,92.34924289,84.17182663,83.21775312,62.39584267,72.06703911,20.9352518,75.56882383,71.48140538,88.9506968,68.04673781,11.66666667,60.8364701,21.45748988,21.06286455,40.53301512,16.58934346,48.89351918,52.6346913
