train/target,eng,nld,ita,fra,rus,swe,dan,tur,fin,ind,ukr,pol,por,lat,kor,est,lav,lit,vie,cat,ces,eus,jpn,hun,hin,tel,bel
eng,93.0634924815,87.99435028248588,86.8902296431411,87.07442888725129,89.13457749526818,94.24776410165587,91.34989524094584,78.17154596815614,86.0348428148958,83.0893708453636,87.19405082562362,85.98604213756579,89.13599858794457,80.1734110414578,63.8705917671782,87.7412454829771,86.33376697021248,85.57030068872837,65.24466750313677,87.84097504352873,86.83112047425408,77.91499138426192,33.29781944740394,83.84379785604901,69.39199108996101,85.29819694868237,87.02847864101923
nld,88.004634872146,93.90889830508476,89.42519058977597,86.9291504368881,86.79870545144473,88.62835384751617,87.83797266287539,75.65998972778634,83.92689456054045,83.59296313704425,83.7627356833353,83.54919074095461,89.25072809107758,76.80875207950027,59.897222173168274,85.85017257863265,83.99879915941159,83.82328237863263,63.79757423672103,89.64983555813504,85.40247905541129,75.74464593419216,26.12401448966546,83.71937212863706,77.0262744899509,82.80166435506241,84.97376967274543
ita,87.85584494245911,88.5549081920904,95.5661568682475,91.2243394041478,87.54675296990368,89.19153457894271,90.35218996308492,76.25192604006163,84.75802043476432,84.30806419123078,84.82257875629465,84.98787348831071,92.35725002206335,79.48483479678737,61.839758419128685,87.18218794056165,85.48317155342072,84.40282210650092,64.54203262233375,93.16598955310504,85.76453872911665,78.58783950110774,27.251580367923857,83.80551301684534,69.75649268465548,84.1886269070735,85.75443417436922
fra,87.065809917573,88.17090395480226,89.2334315513774,95.29003052952942,90.10871882327862,89.02683078012929,89.52409458246035,77.80688238315358,85.58354006363088,82.11240179950312,88.23047195221922,87.41152596063421,91.00697202365194,77.15138761884826,62.62560262772176,85.86799760172417,86.28039627739417,85.72988409205443,66.53283145127563,90.41884310311472,89.1259614913527,75.4410437351276,28.87456495489736,85.53790199081163,75.74376887898885,82.80166435506241,88.49612790407194
rus,85.68983224922971,82.7242231638418,82.86796688648799,85.03000315822719,95.64155733416018,88.4530239971664,87.15953307392996,76.20698510529019,84.55899872457918,81.15893372725441,92.39372291837452,89.49695599808616,85.02338716794634,81.26962442297311,63.09004538471047,83.7759880734391,89.70612762266921,89.90424995800437,66.16478460895023,82.37570129618882,89.77512125814512,78.63707229014524,36.1336032388664,73.30589586523737,73.37113349870906,81.2760055478502,91.68748438670995
swe,91.96271034682538,88.04731638418079,88.01739862494739,87.23234024634172,89.5163530422537,96.08784202603384,92.27776114935648,78.02645095017976,86.61088452536126,83.68696703149129,87.83815435062654,87.0799029879065,90.08913599858796,79.18406469311535,64.41450191604712,88.26951434914359,86.40715167283766,85.50310767680162,65.44542032622334,88.52292513058619,87.42883739160257,76.23287109214736,34.47510476596349,84.86791730474732,75.70326870180057,84.46601941747572,88.51486385211092
dan,90.24701761778104,89.69367937853107,89.16327580562181,88.89356774397305,89.4704882980304,92.79022403258656,97.21640227476804,78.27812018489985,87.50508065985508,84.7377962801316,87.60979037358004,85.79300786985861,90.945194598888,80.01366135269427,65.20564395076553,88.6568034872227,87.71473364688616,85.65429195363681,65.19447929736512,89.99806538982395,87.95796384302582,77.36112250759005,32.924923645145256,85.60490045941806,73.1281324355794,84.60471567267683,90.24481638770922
tur,66.5775682721934,69.0280720338983,67.78448154903887,64.91841246446994,73.47596622804467,70.58177632161517,70.1785892447371,81.87724704673857,77.34796563371596,64.49002887262473,73.50977866260686,72.65017901041065,70.66454858353191,63.85250145978164,58.98423013756688,79.38130965306023,76.0032022415691,74.88661179237359,53.032204098703474,65.9218417488876,74.05614619567879,63.14105194059243,38.99424675047944,84.75306278713629,57.07824971734251,76.8377253814147,73.85710716962278
fin,78.35830721828668,77.59975282485875,76.10963004536738,73.09190441099062,82.56622933664076,82.37315150978482,81.31298014566497,76.59347714432461,88.19885352282442,77.76136439938226,82.01780067923644,79.48887165695996,77.56596946430147,72.95823371930327,61.98986349268017,86.16778208099042,87.47122986090264,86.91416092726357,60.63571727310748,73.64577287676534,80.2116505805693,75.45745466480676,45.203849705234745,79.65160796324655,71.93506471590814,85.71428571428571,82.35073694728953
ind,81.26036920970164,82.06656073446328,80.72587811608437,79.83577218654595,83.76711045651571,82.50066412822102,80.3751371844757,73.6748844375963,77.23443916523006,89.53870946082051,80.7647265487762,82.24909669861906,85.9941752713794,75.16388114623156,60.66540696134353,79.00698416813859,80.17278761799926,80.18646060809675,66.82559598494355,82.56432578835364,78.79525745921316,72.93837695905474,17.561616592087507,75.2009954058193,73.0825697362426,78.77947295423023,80.38970771921059
